Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
Rd2.1.3_P1+2_MT_20210730,D1,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,10.048345659999995,2.802543174,0.14333440253332713,7.70747105,2.3408746099999957,0.1973906268842737,0.018887730341788346,0.7961271928474238,1.0,,,
Rd2.1.3_P1+2_MT_20210730,D2,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,9.909207599999998,2.663405116,0.15784657739667676,7.70747105,2.201736549999999,0.21737583131736882,0.018887730341788346,0.5062384797262766,1.0,,,
Rd2.1.3_P1+2_MT_20210730,D3,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,10.18443464,2.938632161,0.13043182570670472,7.70747105,2.4769635899999995,0.17962205522041982,0.018887730341788346,1.0538632791045988,1.0,,,
Rd2.1.3_P1+2_MT_20210730,D13,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,9.36621417,2.120411689,0.22998127558873827,7.70747105,1.6587431199999996,0.3167149512963693,0.05224685833398323,0.9346919720839598,1.0,,,
Rd2.1.3_P1+2_MT_20210730,D14,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,9.708646269999996,2.462843781,0.18138866618120345,7.70747105,2.001175219999996,0.24979643281683053,0.05224685833398323,0.03597226459920109,1.0,,,
Rd2.1.3_P1+2_MT_20210730,D15,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,9.210718409999998,1.964915927,0.2561541326958452,7.70747105,1.5032473599999987,0.35275847279731315,0.05224685833398323,1.457509244193537,1.0,,,
Rd2.1.3_P1+2_WT_20210730,B1,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,7.914638710000002,0.790272694,0.5782347853734653,7.707525778333333,0.20711293166666866,0.8662690437070601,0.06701733349858867,1.3579547899853743,1.0,,,
Rd2.1.3_P1+2_WT_20210730,B2,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.010735250000003,0.886369234,0.5409738512094916,7.707525778333333,0.30320947166667,0.810447438673371,0.06701733349858867,0.16108286836657054,1.0,,,
Rd2.1.3_P1+2_WT_20210730,B3,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.15598203,1.03161602,0.48916191211916904,7.707525778333333,0.44845625166666725,0.7328265858616826,0.06701733349858867,1.5031870716745295,1.0,,,
Rd2.1.3_P1+2_WT_20210730,B13,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,7.966830380000001,0.842464366,0.5576901263276337,7.707525778333333,0.2593046016666678,0.8354905400172608,0.03076720898678292,0.6980324027030771,1.0,,,
Rd2.1.3_P1+2_WT_20210730,B14,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.076243220000002,0.951877204,0.5169593676104899,7.707525778333333,0.36871744166666875,0.7744706965806418,0.03076720898678292,0.6102950312140987,1.0,,,
Rd2.1.3_P1+2_WT_20210730,B15,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.03287838,0.908512363,0.5327341376507747,7.707525778333333,0.32535260166666635,0.798103302199119,0.03076720898678292,0.10358795816638666,1.0,,,
Rd2.1.3_P1+2_Total_20210730,B1,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.293582950000001,1.783713271,0.2904348998455039,7.840800801666664,0.45278214833333674,0.7306325088402483,0.06970887565267292,0.04862628688891883,1.0,,,
Rd2.1.3_P1+2_Total_20210730,B2,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.59896963,2.089099954,0.23502726670825308,7.840800801666664,0.7581688283333348,0.5912463067260212,0.06970887565267292,1.5004232875648063,1.0,,,
Rd2.1.3_P1+2_Total_20210730,B3,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.443828239999998,1.933958561,0.2617100875698524,7.840800801666664,0.603027438333334,0.658370939483094,0.06970887565267292,0.7544428229956159,1.0,,,
Rd2.1.3_P1+2_Total_20210730,B13,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.133399060000002,1.623529385,0.3245405413662014,7.840800801666664,0.29259825833333775,0.8164303626813828,0.047387310539665155,1.0021290509052334,1.0,,,
Rd2.1.3_P1+2_Total_20210730,B14,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.12180649,1.611936815,0.32715884596389333,7.840800801666664,0.2810056883333365,0.8230171002375146,0.047387310539665155,1.075329861699998,1.0,,,
Rd2.1.3_P1+2_Total_20210730,B15,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,8.279411190000001,1.769541516,0.29330193294123036,7.840800801666664,0.43861038833333676,0.7378449627411604,0.047387310539665155,0.12878091106627554,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B1,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,9.468100200000002,2.222297719,0.21429978103114877,7.70747105,1.7606291500000024,0.29511943760792986,0.0174965494410653,0.444409098513344,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B2,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,9.433859910000002,2.188057422,0.21944671483292574,7.70747105,1.7263888600000028,0.30220745182541925,0.0174965494410653,0.24050012001310003,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B3,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,9.3142079,2.068405424,0.23842287698185494,7.70747105,1.6067368499999999,0.32834016569238933,0.0174965494410653,0.5112894259086178,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B13,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,9.159473219999999,1.913670735,0.2654163710665952,7.70747105,1.4520021699999992,0.3655138123195305,0.05198549326710373,1.580706060565748,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B14,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,9.642048210000002,2.396245727,0.1899582496600824,7.70747105,1.9345771600000026,0.26159789553310653,0.05198549326710373,1.4087614816341676,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B15,KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,9.394222269999997,2.148419791,0.22555953968942272,7.70747105,1.686751219999997,0.31062563047067254,0.05198549326710373,0.0016752136862409758,1.0,,,
