Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P1-1+P1-2_Total_20210826,J18,ASO569_10_R3.1P1-2,KQ2206_L20_6-09-5_10uM_R3.1P1-2,rs8113956,38.2222177820761,31.5782760781788,6.643941703897301,,,,0.9507729484606928,,
R3.1 P1-1+P1-2_Total_20210826,J19,ASO569_3_R3.1P1-2,KQ2206_L20_6-09-5_3uM_R3.1P1-2,rs8113956,30.9214498775698,24.1415694610621,6.779880416507698,,,,1.0867116610710896,1.21240849706209,0.4315475699017367
R3.1 P1-1+P1-2_Total_20210826,J20,ASO569_3_R3.1P1-2,KQ2206_L20_6-09-5_3uM_R3.1P1-2,rs8113956,31.1860443731219,24.1728936758688,7.013150697253099,,,,1.3199819418164909,,
R3.1 P1-1+P1-2_Total_20210826,J21,ASO569_3_R3.1P1-2,KQ2206_L20_6-09-5_3uM_R3.1P1-2,rs8113956,31.189176532191,24.2654758884557,6.923700643735298,,,,1.2305318882986898,,
R3.1 P1-1+P1-2_Total_20210826,J22,ASO569_3_R3.1P1-2,KQ2206_L20_6-09-5_3uM_R3.1P1-2,rs8113956,31.3435167729416,24.6427553452043,6.7007614277373015,,,,1.0075926723006932,1.0556397462427585,0.48108384324057324
R3.1 P1-1+P1-2_Total_20210826,J23,ASO569_3_R3.1P1-2,KQ2206_L20_6-09-5_3uM_R3.1P1-2,rs8113956,31.620931617555,24.6619649909668,6.9589666265882,,,,1.2657978711515918,,
R3.1 P1-1+P1-2_Total_20210826,J24,ASO569_3_R3.1P1-2,KQ2206_L20_6-09-5_3uM_R3.1P1-2,rs8113956,31.3129994254139,24.7263019747013,6.586697450712599,,,,0.8935286952759904,,
R3.1 P1-1+P1-2_Total_20210826,M13,ASO570_10_R3.1P1-2,KQ2207_L20_6-08-6_10uM_R3.1P1-2,rs8113956,31.562392136872,24.393946791438,7.168445345433998,,,,1.4752765899973896,1.4082799613733241,0.3767606082277186
R3.1 P1-1+P1-2_Total_20210826,M14,ASO570_10_R3.1P1-2,KQ2207_L20_6-08-6_10uM_R3.1P1-2,rs8113956,31.6815551058418,24.5669499466822,7.1146051591595985,,,,1.42143640372299,,
R3.1 P1-1+P1-2_Total_20210826,M15,ASO570_10_R3.1P1-2,KQ2207_L20_6-08-6_10uM_R3.1P1-2,rs8113956,31.5866613197308,24.5653656738946,7.021295645836201,,,,1.3281268903995924,,
